car,move
AF,1
AA,1
AB,1
AE,1
H,1
P,1
AH,-1
AQ,1
AJ,-1
L,1
K,1
AQ,-1
AJ,1
K,-1
AQ,1
H,-1
AE,-2
L,-1
AJ,-1
AC,-1
L,1
AQ,-1
H,1
AF,-1
AQ,1
L,-1
AE,1
AK,1
G,1
AL,-1
AP,1
AR,1
G,-1
L,1
O,-1
P,-1
D,-1
AD,1
A,-3
B,-3
A,-3
B,1
G,1
AO,1
AD,-1
H,-1
G,-1
AQ,-1
AA,-1
K,1
A,1
AR,-1
I,1
AC,-1
G,1
AA,1
G,-1
AH,-1
AH,2
AA,-1
A,1
D,1
AK,-1
AO,-1
B,-1
K,-1
AP,-1
AC,2
K,1
AG,1
J,1
O,1
AB,-1
AJ,1
H,2
AH,-2
AJ,-1
AE,-1
H,-1
AE,1
AJ,1
B,1
AB,1
AE,-1
J,-1
H,1
AI,-2
AC,-1
K,-1
O,-1
K,1
D,-1
AE,1
AJ,-1
AD,1
AK,1
J,1
AC,-1
H,1
AG,-1
AK,-1
AP,1
AK,1
AD,-1
AP,-1
AR,1
D,1
K,-1
O,1
AC,1
AQ,1
A,-1
AF,1
AC,-1
L,-1
AA,1
G,1
H,-2
L,1
K,1
J,-1
AP,1
B,-1
AO,2
AQ,1
J,1
AR,-1
AE,1
AR,1
N,1
AD,1
AR,-1
AK,-1
W,-1
AI,2
K,-1
AD,-1
H,-1
P,1
J,-1
A,-1
L,-1
H,2
N,-1
AO,-2
F,1
S,1
AC,-1
AK,1
F,-1
G,-1
AQ,-2
G,1
AK,-1
AB,-1
AI,-1
AK,1
J,-1
H,-2
AG,1
N,1
J,-2
L,1
AG,-1
AD,1
AR,1
AQ,2
I,-1
A,1
AI,-2
AA,1
L,-1
AQ,-2
H,1
AQ,1
N,-1
J,3
G,-1
A,-1
AD,-1
AQ,1
L,1
S,-1
L,-1
AP,-1
W,-2
I,1
H,1
AP,1
AA,-1
AP,-1
AR,-1
S,1
P,1
B,1
W,2
H,-2
AQ,-2
Q,-1
A,1
G,1
N,1
A,-1
I,-1
Q,1
I,1
W,-1
I,-1
S,-1
M,1
AG,1
AE,1
W,2
AB,1
L,1
AK,-1
L,-1
M,-1
B,1
AI,3
AB,-1
AK,1
L,1
N,-1
B,-1
AH,2
N,1
K,1
AJ,1
A,1
AL,1
AB,1
N,-1
P,-2
G,-1
H,1
W,-1
AK,-1
A,-1
AH,-1
AD,1
W,1
I,1
AK,1
AC,2
A,2
AA,-1
J,1
AA,1
AR,1
AL,-1
I,-1
AR,-1
W,-1
P,1
AD,-1
AA,3
AJ,-1
J,-1
P,1
S,1
AJ,1
AC,-2
AK,-1
AA,1
AE,-1
AA,-4
AG,-1
J,1
A,-1
AH,-1
J,-1
H,-1
AI,-3
AA,2
AC,2
W,-2
AQ,1
W,2
AJ,-1
B,-1
G,1
AC,-1
AQ,-1
B,2
AK,1
AC,-1
H,1
S,-1
J,1
A,-1
AG,1
AD,1
W,-1
Y,-1
B,-2
A,1
U,-1
AE,1
N,-1
G,-1
I,1
AE,-1
J,-1
I,-1
AE,1
AR,1
N,1
AB,-1
B,3
N,-1
AP,1
N,1
AE,-1
AD,-1
A,-1
AR,-1
AD,1
AB,1
AO,1
AB,-1
AE,1
AD,-1
B,-1
A,2
AA,-2
AE,-1
U,1
AG,-1
AA,4
B,-1
S,1
Y,1
V,1
AA,-2
A,-2
H,-1
Q,-2
H,1
AO,-1
AK,-1
W,-1
AD,1
B,1
A,1
W,1
Q,1
A,1
H,-1
AK,1
AR,1
H,1
AP,-1
AQ,1
AD,-1
AB,1
Q,1
V,-1
AC,2
AQ,-1
V,1
AA,-3
J,1
AR,-1
V,-1
AG,1
Q,-1
AK,-1
AJ,1
A,-1
AD,1
Q,1
W,1
AG,-1
AD,-1
AJ,-1
AP,1
W,-2
AG,1
Q,-1
B,-1
AP,-1
AK,1
A,1
AP,1
K,-1
AC,-1
L,-1
A,-2
AK,-1
H,-1
AE,1
V,1
Q,-1
P,-2
AK,1
AD,3
H,1
AO,1
A,2
P,1
AD,-1
Q,1
B,1
Q,1
V,-1
AD,-2
AO,-1
L,1
K,1
B,-2
AD,2
